Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 112000 | Order = 0.27403199263005357 | Time = 21s
Step 113000 | Order = 0.3079704208981649 | Time = 22s
Step 114000 | Order = 0.35201825258254821 | Time = 22s
Step 115000 | Order = 0.243520021223954 | Time = 22s
Step 116000 | Order = 0.30753358593472957 | Time = 22s
Step 117000 | Order = 0.36505016721614725 | Time = 22s
Step 118000 | Order = 0.33850994250594307 | Time = 23s
Step 119000 | Order = 0.22903927178354774 | Time = 23s
Step 120000 | Order = 0.19401575012364838 | Time = 23s
Step 121000 | Order = 0.3565633763711033 | Time = 23s
Step 122000 | Order = 0.16019526503790729 | Time = 23s
Step 123000 | Order = 0.14653296486050324 | Time = 24s
Step 124000 | Order = 0.20028069804729559 | Time = 24s
Step 125000 | Order = 0.33616676475280299 | Time = 24s
Step 126000 | Order = 0.32142646760844129 | Time = 24s
Step 127000 | Order = 0.31146218102946099 | Time = 24s
Step 128000 | Order = 0.32418713308815067 | Time = 25s
Step 129000 | Order = 0.1536074053521532 | Time = 25s
Step 130000 | Order = 0.25515329559027788 | Time = 25s
Step 131000 | Order = 0.29384155593678635 | Time = 25s
Step 132000 | Order = 0.52379821417467554 | Time = 25s
Step 133000 | Order = 0.34793328852218575 | Time = 25s
Step 134000 | Order = 0.30925560233680272 | Time = 26s
Step 135000 | Order = 0.24518737706417518 | Time = 26s
Step 136000 | Order = 0.34984891870980045 | Time = 26s
Step 137000 | Order = 0.22556132315766253 | Time = 26s
Step 138000 | Order = 0.2116267002549444 | Time = 26s
Step 139000 | Order = 0.064621517453862742 | Time = 27s
Step 140000 | Order = 0.086321828827629635 | Time = 27s
Step 141000 | Order = 0.062742445156861948 | Time = 27s
Step 142000 | Order = 0.16206733191080966 | Time = 27s
Step 143000 | Order = 0.25017006495082372 | Time = 27s
Step 144000 | Order = 0.31959503623589092 | Time = 28s
Step 145000 | Order = 0.3510793215911544 | Time = 28s
Step 146000 | Order = 0.30165527126394959 | Time = 28s
Step 147000 | Order = 0.40782705505570432 | Time = 28s
Step 148000 | Order = 0.32049494418182445 | Time = 28s
Step 149000 | Order = 0.24660446026815336 | Time = 29s
Step 150000 | Order = 0.12750204213538888 | Time = 29s
Step 151000 | Order = 0.093615816059405485 | Time = 29s
Step 152000 | Order = 0.10992463798929844 | Time = 29s
Step 153000 | Order = 0.20677400119146702 | Time = 30s
Step 154000 | Order = 0.23552940706233777 | Time = 30s
Step 155000 | Order = 0.32999409992096246 | Time = 30s
Step 156000 | Order = 0.34367480791903826 | Time = 30s
